IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
94.156.2.192,443,TRUE,AMS,Europe,Amsterdam,203 ms,9.58
94.156.2.190,443,TRUE,AMS,Europe,Amsterdam,165 ms,9.55
38.180.96.78,443,TRUE,AMS,Europe,Amsterdam,152 ms,9.53
172.232.217.42,2053,TRUE,MXP,Europe,Milan,163 ms,9.5
37.221.126.230,8443,TRUE,ARN,Europe,Stockholm,210 ms,9.5
172.232.152.38,2053,TRUE,ARN,Europe,Stockholm,192 ms,9.48
37.1.221.82,2053,TRUE,AMS,Europe,Amsterdam,156 ms,9.46
103.57.167.29,443,TRUE,SYD,Oceania,Sydney,151 ms,9.45
51.38.146.61,8443,TRUE,WAW,Europe,Warsaw,243 ms,9.42
206.189.129.187,443,TRUE,MAA,Asia Pacific,Chennai,127 ms,9.4
5.61.59.224,443,TRUE,AMS,Europe,Amsterdam,148 ms,9.38
23.94.107.172,2053,TRUE,AMS,Europe,Amsterdam,163 ms,9.35
146.190.33.224,8443,TRUE,SJC,North America,San Jose,169 ms,9.29
139.162.145.35,2053,TRUE,FRA,Europe,Frankfurt,155 ms,9.2
38.180.10.162,443,TRUE,OSL,Europe,Oslo,244 ms,9.19
172.233.47.113,2053,TRUE,AMS,Europe,Amsterdam,185 ms,9.16
208.85.20.81,2053,TRUE,MAD,Europe,Madrid,187 ms,9.16
95.164.8.151,8443,TRUE,TLL,Europe,Tallinn,247 ms,9.1
94.131.123.13,2053,TRUE,IST,Europe,Istanbul,175 ms,9.05
38.143.9.247,443,TRUE,LAX,North America,Los Angeles,167 ms,8.98
5.180.45.21,8443,TRUE,IST,Europe,Istanbul,187 ms,8.98
103.231.75.99,8443,TRUE,IST,Europe,Istanbul,185 ms,8.97
172.233.53.137,2053,TRUE,AMS,Europe,Amsterdam,167 ms,8.96
45.91.82.74,443,TRUE,LAX,North America,Los Angeles,190 ms,8.96
45.76.70.83,34237,TRUE,LAX,North America,Los Angeles,247 ms,8.94
74.211.104.133,443,TRUE,LAX,North America,Los Angeles,182 ms,8.91
136.244.71.128,2053,TRUE,LHR,Europe,London,178 ms,8.9
207.60.50.24,8443,TRUE,LAX,North America,Los Angeles,186 ms,8.88
172.234.123.26,8443,TRUE,ARN,Europe,Stockholm,188 ms,8.86
195.54.175.213,8443,TRUE,AMS,Europe,Amsterdam,171 ms,8.8
38.180.172.74,2053,TRUE,IST,Europe,Istanbul,184 ms,8.79
45.87.153.141,8443,TRUE,AMS,Europe,Amsterdam,175 ms,8.78
154.64.239.85,34237,TRUE,LAX,North America,Los Angeles,193 ms,8.78
172.233.108.227,8443,TRUE,MAD,Europe,Madrid,197 ms,8.77
38.54.101.251,34237,TRUE,LAX,North America,Los Angeles,188 ms,8.71
206.119.79.166,34237,TRUE,LAX,North America,Los Angeles,184 ms,8.7
95.164.8.162,443,TRUE,TLL,Europe,Tallinn,197 ms,8.7
38.180.117.153,2053,TRUE,AMS,Europe,Amsterdam,149 ms,8.68
146.190.155.154,443,TRUE,SJC,North America,San Jose,165 ms,8.67
193.46.56.240,8443,TRUE,IST,Europe,Istanbul,192 ms,8.67
209.38.76.70,443,TRUE,SJC,North America,San Jose,177 ms,8.65
38.180.163.106,443,TRUE,TLL,Europe,Tallinn,189 ms,8.62
143.42.17.72,443,TRUE,FRA,Europe,Frankfurt,161 ms,8.58
172.232.144.24,443,TRUE,ARN,Europe,Stockholm,190 ms,8.58
95.179.197.216,443,TRUE,LHR,Europe,London,176 ms,8.55
51.77.94.130,8443,TRUE,FRA,Europe,Frankfurt,261 ms,8.55
142.111.77.110,443,TRUE,FRA,Europe,Frankfurt,161 ms,8.51
162.19.148.195,8443,TRUE,FRA,Europe,Frankfurt,205 ms,8.5
94.131.105.248,8443,TRUE,AMS,Europe,Amsterdam,161 ms,8.46
51.89.85.102,443,TRUE,FRA,Europe,Frankfurt,261 ms,8.45
38.180.181.20,2053,TRUE,FRA,Europe,Frankfurt,223 ms,8.42
65.20.107.213,2083,TRUE,MAD,Europe,Madrid,190 ms,8.41
54.38.130.59,8443,TRUE,WAW,Europe,Warsaw,232 ms,8.41
37.1.203.112,8443,TRUE,AMS,Europe,Amsterdam,158 ms,8.39
164.92.157.131,2053,TRUE,AMS,Europe,Amsterdam,247 ms,8.37
95.164.116.218,2053,TRUE,IST,Europe,Istanbul,184 ms,8.36
45.82.253.44,8443,TRUE,TLL,Europe,Tallinn,213 ms,8.36
45.120.178.224,2053,TRUE,AMS,Europe,Amsterdam,189 ms,8.32
5.45.95.134,8443,TRUE,AMS,Europe,Amsterdam,134 ms,8.3
154.9.205.166,34237,TRUE,LAX,North America,Los Angeles,163 ms,8.3
141.95.117.103,8443,TRUE,FRA,Europe,Frankfurt,215 ms,8.22
94.131.108.74,8443,TRUE,IST,Europe,Istanbul,158 ms,8.17
172.234.96.64,8443,TRUE,ARN,Europe,Stockholm,181 ms,8.16
134.209.166.201,8443,TRUE,EWR,North America,Newark,243 ms,8.15
149.28.91.33,34237,TRUE,LAX,North America,Los Angeles,216 ms,8.13
91.92.16.168,443,TRUE,AMS,Europe,Amsterdam,140 ms,8.09
64.23.138.62,443,TRUE,SJC,North America,San Jose,155 ms,8.07
37.252.4.142,2053,TRUE,TLL,Europe,Tallinn,175 ms,8.06
159.203.172.237,8443,TRUE,EWR,North America,Newark,216 ms,8.05
37.1.201.53,2053,TRUE,AMS,Europe,Amsterdam,140 ms,8.04
51.195.249.199,8443,TRUE,LHR,Europe,London,229 ms,8.04
5.135.21.188,2053,TRUE,LHR,Europe,London,203 ms,8.03
38.150.0.22,34237,TRUE,DEN,North America,Denver,210 ms,8.02
188.116.21.35,443,TRUE,AMS,Europe,Amsterdam,130 ms,8.01
172.233.45.197,2053,TRUE,AMS,Europe,Amsterdam,164 ms,8
95.164.8.214,8443,TRUE,TLL,Europe,Tallinn,176 ms,7.98
93.185.166.62,8443,TRUE,AMS,Europe,Amsterdam,204 ms,7.98
95.179.236.51,443,TRUE,LHR,Europe,London,177 ms,7.97
38.180.172.74,8443,TRUE,IST,Europe,Istanbul,184 ms,7.97
45.150.64.152,8443,TRUE,HEL,Europe,Helsinki,199 ms,7.97
157.230.28.134,443,TRUE,FRA,Europe,Frankfurt,214 ms,7.97
94.131.105.129,8443,TRUE,AMS,Europe,Amsterdam,152 ms,7.96
94.131.123.28,8443,TRUE,BUD,Europe,Budapest,177 ms,7.95
45.153.230.41,443,TRUE,FRA,Europe,Frankfurt,256 ms,7.95
158.69.60.87,2053,TRUE,YYZ,North America,Toronto,319 ms,7.95
172.232.50.26,2083,TRUE,CDG,Europe,Paris,161 ms,7.94
154.21.193.39,8443,TRUE,LAX,North America,Los Angeles,166 ms,7.91
46.101.65.141,2053,TRUE,LHR,Europe,London,220 ms,7.9
103.113.69.99,443,TRUE,WAW,Europe,Warsaw,221 ms,7.87
154.64.232.203,34237,TRUE,LAX,North America,Los Angeles,176 ms,7.86
38.180.206.150,2053,TRUE,DME,Europe,Moscow,209 ms,7.82
37.1.223.205,443,TRUE,AMS,Europe,Amsterdam,169 ms,7.81
154.40.39.232,443,TRUE,LAX,North America,Los Angeles,173 ms,7.81
38.150.34.158,443,TRUE,LAX,North America,Los Angeles,166 ms,7.8
